CallLTP, CallIV, CallDelta, Strikes, PutDelta, PutIV, PutLTP, Date, Time, Spotprice
-,-,-,23300,-0.09,392.29,0.8,07-Jan-2021,09:20,32123.85
-,-,-,23400,-0.1,394.73,1,07-Jan-2021,09:20,32123.85
-,-,-,23500,-0.08,378.4,0.7,07-Jan-2021,09:20,32123.85
-,-,-,24000,-0.09,356.64,0.75,07-Jan-2021,09:20,32123.85
-,-,-,24500,-0.07,322.37,0.5,07-Jan-2021,09:20,32123.85
-,-,-,25000,-0.07,299.93,0.5,07-Jan-2021,09:20,32123.85
-,-,-,26000,-0.09,258.1,0.55,07-Jan-2021,09:20,32123.85
-,-,-,26500,-0.11,239.86,0.65,07-Jan-2021,09:20,32123.85
-,-,-,27000,-0.15,223.5,0.85,07-Jan-2021,09:20,32123.85
-,-,-,27100,-0.18,222.39,1,07-Jan-2021,09:20,32123.85
-,-,-,27500,-0.2,205.73,1.05,07-Jan-2021,09:20,32123.85
-,-,-,27600,-0.19,199.46,0.95,07-Jan-2021,09:20,32123.85
-,-,-,27800,-0.21,191.69,1,07-Jan-2021,09:20,32123.85
-,-,-,27900,-0.3,194.87,1.5,07-Jan-2021,09:20,32123.85
-,-,-,28000,-0.24,185.46,1.15,07-Jan-2021,09:20,32123.85
-,-,-,28100,-0.22,178.67,1,07-Jan-2021,09:20,32123.85
-,-,-,28200,-0.35,183.76,1.7,07-Jan-2021,09:20,32123.85
-,-,-,28300,-0.26,172.34,1.15,07-Jan-2021,09:20,32123.85
-,-,-,28400,-0.28,169.36,1.25,07-Jan-2021,09:20,32123.85
-,-,-,28500,-0.27,163.62,1.15,07-Jan-2021,09:20,32123.85
-,-,-,28600,-0.33,162.45,1.4,07-Jan-2021,09:20,32123.85
-,-,-,28700,-0.35,158.6,1.45,07-Jan-2021,09:20,32123.85
-,-,-,28800,-0.3,151.23,1.2,07-Jan-2021,09:20,32123.85
-,-,-,28900,-0.34,148.66,1.35,07-Jan-2021,09:20,32123.85
-,-,-,29000,-0.37,144.82,1.4,07-Jan-2021,09:20,32123.85
-,-,-,29100,-0.4,141.44,1.5,07-Jan-2021,09:20,32123.85
-,-,-,29200,-0.43,137.97,1.6,07-Jan-2021,09:20,32123.85
-,-,-,29300,-0.43,133.07,1.55,07-Jan-2021,09:20,32123.85
-,-,-,29400,-0.46,129.08,1.6,07-Jan-2021,09:20,32123.85
